trading_date,spread_name,5day_ret_0931_rank,5day_ret_0931_rank_mxm
2020/1/2,Spread_Port_01,-0.001857526,-0.066358947
2020/1/2,Spread_Port_02,-0.006193146,-0.12173709
2020/1/2,Spread_Port_03,0.000364254,-0.000329088
2020/1/2,Spread_Port_04,-0.004612467,-0.14523458
2020/1/2,Spread_Port_05,0.003742129,0.15252782
2020/1/2,Spread_Port_06,0.008140133,0.20667213
2020/1/3,Spread_Port_01,0.0006848,-0.000610216
2020/1/3,Spread_Port_02,-0.005695384,-0.11863327
2020/1/3,Spread_Port_03,-0.000968127,-0.04261464
2020/1/3,Spread_Port_04,-0.004840454,-0.15299855
2020/1/3,Spread_Port_05,0.002627439,0.12505129
2020/1/3,Spread_Port_06,0.008095725,0.20378369
2020/1/6,Spread_Port_01,-0.000723689,-0.035729192
2020/1/6,Spread_Port_02,-0.00707603,-0.14911492
2020/1/6,Spread_Port_03,-0.001028886,-0.034102425
2020/1/6,Spread_Port_04,-0.00358238,-0.12364109
2020/1/6,Spread_Port_05,0.00426059,0.16492084
2020/1/6,Spread_Port_06,0.008130517,0.20624305
2020/1/7,Spread_Port_01,-0.00115598,-0.044950455
2020/1/7,Spread_Port_02,-0.008090429,-0.17172724
2020/1/7,Spread_Port_03,-0.00145455,-0.04804389
2020/1/7,Spread_Port_04,-0.002446889,-0.106737494
2020/1/7,Spread_Port_05,0.004727264,0.17438047
2020/1/7,Spread_Port_06,0.008061834,0.20051026
2020/1/8,Spread_Port_01,0.001009611,0.004703798
2020/1/8,Spread_Port_02,-0.005456267,-0.11210183
2020/1/8,Spread_Port_03,-0.000619329,-0.020122834
2020/1/8,Spread_Port_04,-0.005474506,-0.16155292
2020/1/8,Spread_Port_05,0.002027568,0.10022506
2020/1/8,Spread_Port_06,0.008061834,0.20051026
2020/1/9,Spread_Port_01,-0.007179565,-0.16978899
2020/1/9,Spread_Port_02,-0.007272685,-0.15198413
2020/1/9,Spread_Port_03,-0.000669682,-0.037556186
2020/1/9,Spread_Port_04,0.001571853,-0.014347008
2020/1/9,Spread_Port_05,0.005293058,0.18148983
2020/1/9,Spread_Port_06,0.007790618,0.19781321
2020/1/10,Spread_Port_01,-0.00400864,-0.107011214
2020/1/10,Spread_Port_02,-0.006665018,-0.14090452
2020/1/10,Spread_Port_03,0.000527024,0.007041448
2020/1/10,Spread_Port_04,-0.004027509,-0.13588569
2020/1/10,Spread_Port_05,0.005587586,0.18792431
2020/1/10,Spread_Port_06,0.008061834,0.20051026
2020/1/13,Spread_Port_01,-0.00355034,-0.094556585
